date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:28:14	97611/97611	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Oct%202022%2015:28:39%20GMT	https://www.jsw.in/	C:/10Intership/tata3/www.jsw.in/index.html	(from )
08:28:15	228/228	---M--	307	error ('Temporary%20Redirect')	text/html	date:Fri,%2014%20Oct%202022%2015:28:38%20GMT	https://www.jsw.in/robots.txt		(from )
08:28:15	5309/5309	---M--	200	added ('OK')	image/png	etag:%2214bd-531d97ca3cddc%22	https://www.jsw.in/sites/default/files/assets/80x80.png	C:/10Intership/tata3/www.jsw.in/sites/default/files/assets/80x80.png	(from https://www.jsw.in/)
08:28:15	24768/24768	---M--	200	added ('OK')	image/png	etag:%2260c0-577daec65095d%22	https://www.jsw.in/sites/all/themes/jsw_theme/images/apple-touch-icon.png	C:/10Intership/tata3/www.jsw.in/sites/all/themes/jsw_theme/images/apple-touch-icon.png	(from https://www.jsw.in/)
08:28:16	2834772/2834772	---M-Z	200	added ('OK')	text/css	date:Mon,%2022%20Aug%202022%2009:24:57%20GMT	https://www.jsw.in/sites/default/files/assets/advagg_css/css__CYgxO_EfeaPX8FNpaqsEKmG8bM3Km_Odq1CWfJPYgYI__on3-Wgj1l5X3WVJeLf5_KJwBc0JntI-sTr0OuBZDxNA__aL7SJOh3p8u0XMMwPWBkSAf1vLIUma0yUotwZVUh8NU.css	C:/10Intership/tata3/www.jsw.in/sites/default/files/assets/advagg_css/css__CYgxO_EfeaPX8FNpaqsEKmG8bM3Km_Odq1CWfJPYgYI__on3-Wgj1l5X3WVJeLf5_KJwBc0JntI-sTr0OuBZDxNA__aL7SJOh3p8u0XMMwPWBkSAf1vLIUma0yUotwZVUh8NU.css	(from https://www.jsw.in/)
08:28:16	89497/89497	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2028%20Jul%202021%2013:35:35%20GMT	https://www.jsw.in/sites/default/files/assets/advagg_js/js__zEZAOEfR8KFUV7BlFfwlwXr9gl3r0KK7sP8O1BvkoOo__2zACb-atd8r362wM85A7SKmX4qWJlcynjiInE3PwVZI__aL7SJOh3p8u0XMMwPWBkSAf1vLIUma0yUotwZVUh8NU.js	C:/10Intership/tata3/www.jsw.in/sites/default/files/assets/advagg_js/js__zEZAOEfR8KFUV7BlFfwlwXr9gl3r0KK7sP8O1BvkoOo__2zACb-atd8r362wM85A7SKmX4qWJlcynjiInE3PwVZI__aL7SJOh3p8u0XMMwPWBkSAf1vLIUma0yUotwZVUh8NU.js	(from https://www.jsw.in/)
08:28:17	300416/300416	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2028%20Jul%202021%2013:35:31%20GMT	https://www.jsw.in/sites/default/files/assets/advagg_js/js__mWrjcFLvbuN4BGqSx2TsHZi8ilX680bPnNaC864lC_g__FJztcvgrkDZR6QQ21K-o8L133axY0WzAANvBUAZmGFc__aL7SJOh3p8u0XMMwPWBkSAf1vLIUma0yUotwZVUh8NU.js	C:/10Intership/tata3/www.jsw.in/sites/default/files/assets/advagg_js/js__mWrjcFLvbuN4BGqSx2TsHZi8ilX680bPnNaC864lC_g__FJztcvgrkDZR6QQ21K-o8L133axY0WzAANvBUAZmGFc__aL7SJOh3p8u0XMMwPWBkSAf1vLIUma0yUotwZVUh8NU.js	(from https://www.jsw.in/)
08:28:17	30854/30854	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2015%20Jun%202022%2007:16:38%20GMT	https://www.jsw.in/sites/default/files/assets/advagg_js/js__rfKRXLzhzvwi2xyf7rbaTUluvhr6vNTyULAdkCfc_48__sBbPINFd6k9zEAIK0hJHJCy59yGLzOYWombd3KaAuJY__aL7SJOh3p8u0XMMwPWBkSAf1vLIUma0yUotwZVUh8NU.js	C:/10Intership/tata3/www.jsw.in/sites/default/files/assets/advagg_js/js__rfKRXLzhzvwi2xyf7rbaTUluvhr6vNTyULAdkCfc_48__sBbPINFd6k9zEAIK0hJHJCy59yGLzOYWombd3KaAuJY__aL7SJOh3p8u0XMMwPWBkSAf1vLIUma0yUotwZVUh8NU.js	(from https://www.jsw.in/)
08:28:17	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	https://www.google-analytics.com/analytics.js	C:/10Intership/tata3/www.google-analytics.com/analytics.js	(from https://www.jsw.in/)
08:28:18	228294/228294	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2009%20Aug%202022%2006:37:25%20GMT	https://www.jsw.in/sites/default/files/assets/advagg_js/js__Z_5G3XWLmM0MANMRMsP6zEDvYnFUfyDuiQbjpEiH6pA__0vSysWcAi79W-toD1rz0g9ccmw4apvYIpw1m2455L4A__aL7SJOh3p8u0XMMwPWBkSAf1vLIUma0yUotwZVUh8NU.js	C:/10Intership/tata3/www.jsw.in/sites/default/files/assets/advagg_js/js__Z_5G3XWLmM0MANMRMsP6zEDvYnFUfyDuiQbjpEiH6pA__0vSysWcAi79W-toD1rz0g9ccmw4apvYIpw1m2455L4A__aL7SJOh3p8u0XMMwPWBkSAf1vLIUma0yUotwZVUh8NU.js	(from https://www.jsw.in/)
08:28:18	18680/18680	---M--	200	added ('OK')	text/html	etag:%2248f8-5c5cfaea8fdf9%22	https://www.jsw.in/sites/all/themes/jsw_theme/fonts/Helvetica/Helvetica-Neue-Light.woff2	C:/10Intership/tata3/www.jsw.in/sites/all/themes/jsw_theme/fonts/Helvetica/Helvetica-Neue-Light.html	(from https://www.jsw.in/)
08:28:19	18128/18128	---M--	200	added ('OK')	text/html	etag:%2246d0-5c5cfaea8fdf9%22	https://www.jsw.in/sites/all/themes/jsw_theme/fonts/Helvetica/Helvetica-Neue-Bold.woff2	C:/10Intership/tata3/www.jsw.in/sites/all/themes/jsw_theme/fonts/Helvetica/Helvetica-Neue-Bold.html	(from https://www.jsw.in/)
08:28:19	17580/17580	---M--	200	added ('OK')	text/html	etag:%2244ac-5c5cfaea90d99%22	https://www.jsw.in/sites/all/themes/jsw_theme/fonts/Helvetica/Helvetica-Neue.woff2	C:/10Intership/tata3/www.jsw.in/sites/all/themes/jsw_theme/fonts/Helvetica/Helvetica-Neue.html	(from https://www.jsw.in/)
08:28:19	66624/66624	---M--	200	added ('OK')	text/html	etag:%2210440-52ec5df02ee0f%22	https://www.jsw.in/sites/all/themes/jsw_theme/fonts/fontawesome-webfont.woff2?v=4.5.0	C:/10Intership/tata3/www.jsw.in/sites/all/themes/jsw_theme/fonts/fontawesome-webfont3295.html	(from https://www.jsw.in/)
08:28:20	83588/83588	---M--	200	added ('OK')	application/font-woff	etag:%2214684-52ec5df02ee0f%22	https://www.jsw.in/sites/all/themes/jsw_theme/fonts/fontawesome-webfont.woff?v=4.5.0	C:/10Intership/tata3/www.jsw.in/sites/all/themes/jsw_theme/fonts/fontawesome-webfont3295.woff	(from https://www.jsw.in/)
08:28:20	32320/32320	---M--	200	added ('OK')	text/html	etag:%227e40-59d3111287f5d%22	https://www.jsw.in/sites/all/themes/jsw_theme/fonts/BreuerText/BreuerText-Light.woff2	C:/10Intership/tata3/www.jsw.in/sites/all/themes/jsw_theme/fonts/BreuerText/BreuerText-Light.html	(from https://www.jsw.in/)
